Name,Science,English,History,Maths
Bronnie,21,81,62,49
Lemmie,29,41,17,40
Danya,12,87,16,96
Denna,15,53,82,33
Jocelin,43,6,3,21
Malissa,98,51,85,76
Ichabod,38,74,54,60
Beverlie,25,51,41,80
Corrine,39,16,22,49
Tate,35,25,37,27
Dunn,100,93,87,81
Valaria,19,5,78,76
Merrick,65,89,96,34
Gracie,93,38,39,93
Missy,98,18,84,74
Gilberta,53,30,90,64
Peggy,91,45,44,45
Dory,5,89,25,23
Opalina,62,77,75,72
Ashlan,41,6,17,3
Amery,76,96,67,17
Benoite,3,55,14,90
Merle,5,83,19,39
Valma,48,83,79,95
Jone,17,87,16,50
Rae,16,59,18,64
Charmine,93,93,83,40
Hanan,60,36,86,87
Adrian,19,8,76,75
Livia,95,65,25,91
Richie,14,83,9,90
Ekaterina,17,36,45,27
Tamra,17,74,11,49
Zarla,54,18,46,17
Tommy,5,75,13,61
Anna-diane,93,53,10,29
Josh,54,23,19,94
Claudina,90,62,45,21
Adah,71,90,78,35
Luelle,100,52,89,76
Johannes,10,78,56,41
Hetty,21,89,72,84
Brandie,43,2,17,78
Arvie,26,46,81,63
Jacenta,65,7,57,27
Teddy,50,22,50,78
Everett,84,57,25,57
Lyda,78,58,1,33
Vinny,81,25,99,13
Karrie,94,15,66,34
Skipp,31,37,77,79
Rollie,17,99,29,85
Ruben,15,84,40,40
Tabbie,23,44,76,46
Lief,55,64,56,69
Olenka,53,53,49,43
Hinze,46,37,63,17
Issie,64,1,74,6
Yardley,41,37,26,65
Winslow,61,71,77,64
Bobbee,16,57,90,14
Fanny,49,90,13,98
Massimiliano,16,45,44,5
Shannon,78,74,31,85
Mufi,88,72,31,27
Christan,85,6,10,85
Orrin,45,41,26,12
Drusi,39,7,100,70
Nil,84,97,70,96
Jessamine,34,71,35,47
Bil,95,32,91,48
Jaymie,48,59,60,58
Lorrie,72,78,40,78
Bethena,46,89,83,64
Sascha,85,10,62,62
Cherie,32,31,89,30
David,27,2,63,100
Jody,87,45,73,48
Rosalynd,27,96,89,49
Elton,13,18,80,82
Teresita,1,90,42,94
Dannel,84,85,14,24
Amabel,59,12,45,64
Eugine,34,18,39,94
Brien,36,95,55,46
Agace,17,75,8,71
Aubrey,8,72,78,14
Sheffie,44,55,51,100
Ranee,58,16,64,67
Cobby,64,20,86,84
Linn,23,2,42,43
Daffi,79,82,99,81
Morganne,22,86,9,38
Dael,43,65,18,26
Ario,64,18,73,37
Georgia,58,10,99,44
Adolphus,19,98,13,86
Silvia,40,61,63,80
Brendin,72,51,50,11
Loella,66,20,76,30
Hildegaard,64,68,89,43
Alvin,80,28,53,67
Christoph,2,19,48,52
Woodie,37,57,48,75
Jeannie,68,97,31,48
Jocelyne,62,4,75,32
Rina,57,68,13,74
Virgie,56,75,5,40
Vaughn,11,30,83,17
Cherry,82,54,31,18
Abel,2,39,13,69
Matt,23,65,72,51
Josefa,22,78,77,26
Coretta,41,52,29,21
Chris,23,13,28,69
Shanie,80,92,53,30
Kath,63,74,46,76
Bent,90,22,2,12
Aretha,2,60,67,29
Alyse,80,34,85,71
Patrizia,79,88,96,93
Gloria,4,37,50,47
Brandise,18,100,39,8
Orin,70,75,21,99
Fredric,68,20,21,81
Pat,29,6,43,85
Bennie,76,36,32,47
Starlin,3,31,34,45
Susy,28,94,61,72
Eadmund,23,88,90,68
Blisse,85,30,50,2
Tymothy,13,73,76,95
Lindsay,19,14,43,68
Jehanna,77,25,85,26
Humfrid,96,100,42,62
Hector,5,10,75,38
Ailene,52,39,37,3
Berget,10,29,21,13
Bevan,52,62,44,10
Ricky,21,65,90,4
Isidora,52,30,14,24
Emmanuel,77,79,92,36
Cristian,5,3,97,84
Guido,63,12,69,41
Alis,76,53,32,69
Brien,43,4,40,93
Jaquenette,33,75,98,84
Danni,92,67,13,25
Adrianne,51,67,67,91
Inger,53,95,75,81
Herold,92,97,62,69
Candide,26,76,56,75
Susi,23,41,49,79
Milo,47,16,55,21
Emlyn,32,3,69,96
Sarah,55,99,8,72
Paten,67,88,41,8
Aldin,72,24,83,62
Reagan,73,71,87,30
Patty,61,89,70,68
Barde,58,25,23,39
Pepi,100,64,16,20
Page,44,47,43,55
Alard,91,12,15,70
Fidelia,35,39,61,9
Hali,67,21,60,40
Keeley,84,8,71,48
Dory,23,5,39,42
Ilaire,95,56,4,100
Ermina,38,17,76,26
Fran,34,74,83,81
Desmund,86,92,8,62
Rosamond,55,62,57,56
Margaux,94,28,6,9
Shalom,63,9,91,88
Ivan,95,21,51,33
Guntar,92,36,59,48
Moselle,87,39,48,53
Val,95,73,91,61
Amber,32,5,53,49
Davidde,98,100,23,84
Richard,62,42,87,51
Sebastian,60,42,49,25
Billie,53,37,83,64
Purcell,75,14,54,68
Alaine,48,2,63,91
Goldarina,27,11,18,92
Ruperto,60,55,30,83
Oberon,87,21,41,24
Ezekiel,14,6,29,72
Estel,38,66,53,32
Jayme,39,14,77,53
Hebert,50,48,13,15
Olivia,48,4,79,76
Darya,13,35,71,30
Nita,92,57,31,75
Elbertina,82,4,56,22
Carol,98,13,35,4
Codi,30,62,32,60
Codi,57,68,56,23
Ruddie,84,97,88,64
Baudoin,89,59,33,91
Norri,45,21,61,13
Nealon,84,10,71,8
Willem,7,47,39,16
Rosalyn,54,89,59,88
Fannie,49,48,81,44
Davis,56,12,75,96
Zenia,59,94,94,47
Alasteir,7,29,30,23
Vivyan,28,30,80,33
Reg,85,8,88,82
Evangelin,63,92,38,60
Tucky,87,17,94,41
Betteann,68,79,71,41
Elyn,5,86,48,57
Kirk,71,88,44,13
Zack,72,46,40,90
Buffy,58,60,7,90
Tammy,81,63,16,62
Ericka,6,53,71,21
Natty,60,52,85,39
Leda,92,76,72,71
Tabbi,100,95,36,10
Romonda,84,10,82,93
Blake,16,4,49,1
Josepha,22,26,1,28
Maureene,78,63,62,38
Ginnifer,4,15,6,32
Kent,15,26,83,75
Stillman,50,70,31,98
Maude,81,45,22,36
Alysa,65,32,67,35
Mortimer,91,33,71,81
Fleming,31,9,79,54
Nadia,98,30,37,56
Britt,92,87,38,53
Lazar,54,34,66,97
Ashlin,49,47,19,55
Raimund,2,4,48,46
Claudell,76,15,70,35
Janey,3,49,67,96
Morrie,17,24,41,21
Domingo,95,63,65,71
Jesselyn,11,53,15,13
Nickie,28,15,25,10
Rog,1,4,68,65
Kaia,93,48,82,44
Anni,35,73,66,59
Fernande,50,8,80,78
